1,u'lamb heart', u'lamb'
1,u'vanilla liqueur', u'vanilla', u'liqueur'
1,u'saffron gin', u'saffron', u'gin'
1,u'orange vodka', u'orange', u'vodka'
1,u'beef sausage', u'beef', u'sausage'
1,u'tamarind paste', u'tamarind', u'paste'
1,u'lemon basil', u'lemon', u'basil'
1,u'raspberry jam', u'raspberry'
1,u'kaffir lime', u'kaffir', u'lime'
1,u'sushi rice', u'sushi', u'rice'
1,u'mate tea', u'tea'
1,u'duck stock', u'duck'
1,u'lamb brain', u'lamb', u'brain'
1,u'venison mince', u'venison', u'mince'
1,u'duck leg', u'duck', u'leg'
1,u'ham leg', u'ham', u'leg'
1,u'vermicelli noodle', u'vermicelli', u'noodle'
1,u'sweet sherry', u'sweet', u'sherry'
1,u'lamb broth', u'lamb', u'broth'
1,u'veal leg', u'veal', u'leg'
1,u'pork shoulder', u'pork', u'shoulder'
1,u'irish oat', u'irish', u'oat'
1,u'champagne wine', u'champagne', u'wine'
1,u'venison tenderloin', u'venison', u'tenderloin'
1,u'rice wine', u'rice', u'wine'
1,u'veal shoulder', u'veal', u'shoulder'
1,u'dinner roll', u'dinner'
1,u'apricot liqueur', u'apricot', u'liqueur'
1,u'shellfish stock', u'shellfish'
1,u'parsley juice', u'parsley', u'juice'
1,u'bratwurst sausage', u'bratwurst', u'sausage'
1,u'pops cereal', u'cereal'
1,u'spaghetti pasta', u'spaghetti', u'pasta'
1,u'green plantain', u'plantain'
1,u'fig jam', u'fig'
1,u'lobster bisque', u'lobster', u'bisque'
1,u'watermelon radish', u'watermelon', u'radish'
1,u'salmon roe', u'salmon', u'roe'
1,u'venison shoulder', u'venison', u'shoulder'
1,u'medium grain', u'grain'
1,u'semolina flour', u'semolina', u'flour'
1,u'formula vermouth', u'formula', u'vermouth'
1,u'garlic sausage', u'garlic', u'sausage'
1,u'mushroom soup', u'mushroom', u'soup'
1,u'jack cheese', 'cheese'
1,u'chocolate chip', u'chocolate'
1,u'puff pastry', u'pastry'
1,u'tuna roe', u'tuna', u'roe'
1,u'chardonnay vinegar', u'chardonnay', u'vinegar'
1,u'curry paste', u'curry', u'paste'
1,u'flour tortilla', u'flour', u'tortilla'
1,u'tangerine juice', u'tangerine', u'juice'
1,u'buffalo mozzarella', u'buffalo', u'mozzarella'
1,u'monkfish fillet', u'monkfish', u'fillet'
1,u'lamb liver', u'lamb', u'liver'
1,u'peach schnapps', u'peach', u'schnapps'
1,u'duck egg', u'duck', u'egg'
1,u'green tomato', u'tomato'
1,u'almond ice', u'almond'
1,u'fish broth', u'fish', u'broth'
1,u'saltine cracker', u'saltine', u'cracker'
1,u'beef tomato', u'beef', u'tomato'
1,u'apricot jam', u'apricot'
1,u'citrus vodka', u'citrus', u'vodka'
1,u'sandwich roll', u'sandwich'
1,u'garlic sprout', u'garlic', u'sprout'
1,u'lettuce heart', u'lettuce'
1,u'clam juice', u'clam', u'juice'
1,u'grain rice', u'grain', u'rice'
1,u'green grape', u'grape'
1,u'green cardamom', u'cardamom'
1,u'apple cider', u'apple', u'cider'
1,u'lamb loin', u'lamb', u'loin'
1,u'prune plum', u'prune', u'plum'
1,u'chestnut mushroom', u'chestnut', u'mushroom'
1,u'penne pasta', u'penne', u'pasta'
1,u'ham stock', u'ham'
1,u'apple schnapps', u'apple', u'schnapps'
1,u'cocoa paste', u'cocoa', u'paste'
1,u'pastry tart', u'pastry', u'tart'
1,u'breakfast radish', u'breakfast', u'radish'
1,u'ham broth', u'ham', u'broth'
1,u'almond paste', u'almond', u'paste'
1,u'caper berry', u'caper', u'berry'
1,u'lamb tripe', u'lamb', u'tripe'
1,u'green peppercorn', u'peppercorn'
1,u'beef brisket', u'beef', u'brisket'
1,u'rock mussel', u'mussel'
1,u'pork liver', u'pork', u'liver'
1,u'lamb sausage', u'lamb', u'sausage'
1,u'pork rib', u'pork', u'rib'
1,u'pomegranate molasses', u'pomegranate', u'molasses'
1,u'almond liqueur', u'almond', u'liqueur'
1,u'pork dripping', u'pork'
1,u'pork chop', u'pork'
1,u'pomegranate juice', u'pomegranate', u'juice'
1,u'irish cream', u'irish', u'cream'
1,u'fish roe', u'fish', u'roe'
1,u'sour apple', u'apple'
1,u'tarragon vinegar', u'tarragon', u'vinegar'
1,u'beef rib', u'beef', u'rib'
1,u'veal stock', u'veal'
1,u'muscatel raisin', u'muscatel', u'raisin'
1,u'emperor fish', u'emperor', u'fish'
1,u'clover sprout', u'clover', u'sprout'
1,u'guava paste', u'guava', u'paste'
1,u'grape tomato', u'grape', u'tomato'
1,u'turkey liver', u'turkey', u'liver'
1,u'peach juice', u'peach', u'juice'
1,u'cherry vodka', u'cherry', u'vodka'
1,u'rabbit leg', u'rabbit', u'leg'
1,u'garlic mayonnaise', u'garlic', u'mayonnaise'
1,u'veal tripe', u'veal', u'tripe'
1,u'shortbread biscuit', u'shortbread', u'biscuit'
1,u'green pumpkin', u'pumpkin'
1,u'veal chop', u'veal'
1,u'brie cheese', u'brie', u'cheese'
1,u'vermicelli pasta', u'vermicelli', u'pasta'
1,u'horseradish cream', u'horseradish', u'cream'
1,u'celery soup', u'celery', u'soup'
1,u'cream liqueur', u'cream', u'liqueur'
1,u'lamb leg', u'lamb', u'leg'
1,u'allspice berry', u'allspice', u'berry'
1,u'banana pepper', u'banana', u'pepper'
1,u'frankfurter beef', u'frankfurter', u'beef'
1,u'cranberry herbal', u'cranberry', u'herbal'
1,u'paella rice', u'paella', u'rice'
1,u'barley flour', u'barley', u'flour'
1,u'grain barley', u'grain', u'barley'
1,u'mushroom stock', u'mushroom'
1,u'cheese soup', u'cheese', u'soup'
1,u'garlic oil', u'garlic', u'oil'
1,u'cinnamon sugar', u'cinnamon', u'sugar'
1,u'pork sparerib', u'pork', u'sparerib'
1,u'eel sauce', u'eel', u'sauce'
1,u'lasagne pasta', u'lasagne', u'pasta'
1,u'manzanilla sherry', u'manzanilla', u'sherry'
1,u'cake flour', u'cake', u'flour'
1,u'morello cherry', u'morello', u'cherry'
1,u'vegetable stock', u'vegetable'
1,u'chile pepper', u'chile', u'pepper'
1,u'sour plum', u'plum'
1,u'meat dripping', u'meat'
1,u'green chile', u'chile'
1,u'garlic confit', u'garlic', u'confit'
1,u'simple syrup', u'simple', u'syrup'
1,u'lemon vodka', u'lemon', u'vodka'
1,u'green papaya', u'papaya'
1,u'hazelnut paste', u'hazelnut', u'paste'
1,u'rib chop', u'rib'
1,u'olive paste', u'olive', u'paste'
1,u'duck tongue', u'duck'
1,u'parmesan cheese', u'parmesan', u'cheese'
